IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/3),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/5),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/10),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/12),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/17),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/19),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/20),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/5),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/10),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/12),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/19),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/20),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/5),180,3,10,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/10),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/12),60,3,80,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/19),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/20),60,3,90,ATMSL
192.168.224.3,InterfaceOutUtilization(GigabitEthernet0/3),60,3,90,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/21),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/22),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/23),180,3,10,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/13),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/14),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/15),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/16),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/7),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/8),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/9),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(Vlan101),60,3,90,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/21),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/22),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/23),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/24),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/21),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/22),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/23),180,3,10,ATMSL
192.168.224.3,InterfaceOutDiscardsRate(GigabitEthernet0/24),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/13),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/14),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/15),180,3,10,ATMSL
192.168.224.3,InterfaceOutErrorsRate(GigabitEthernet0/16),180,3,10,ATMSL
